design_name,module_interface,ref_solution,prompt
arithmetic_core_2d_fht/fht_1d_x8,"module fht_1d_x8 module fht_1d_x8(
	rstn,
	sclk,

	// input data - x0,x1,x2,x3,x4,x5,x6,x7,x0,x1...
	x_valid,
	x_data,
	
	// 1D FHT output data - h0,h1,h2,h3,h4,h5,h6,h7,h0,h1...
	fht_valid,
	fht_data

);",@(posedge sclk) (rstn) |-> (x_data >= 0) && (x_data <= 45),"that the input data is within the valid range of 0 to 45 when not in reset. Use the signals 'rstn', 'sclk', and 'x_data'."
arithmetic_core_2d_fht/fht_1d_x8,"module fht_1d_x8 module fht_1d_x8(
	rstn,
	sclk,

	// input data - x0,x1,x2,x3,x4,x5,x6,x7,x0,x1...
	x_valid,
	x_data,
	
	// 1D FHT output data - h0,h1,h2,h3,h4,h5,h6,h7,h0,h1...
	fht_valid,
	fht_data

);",@(posedge sclk) ((x_data >= 138) && (x_data <= 153)) |-> (x_data >= 98) && (x_data <= 153),"that if the input data 'x_data' is within the range of 138 to 153 inclusive, then in the subsequent cycles, 'x_data' must continue to be within the range of 98 to 153 inclusive. Use the signals 'x_data' and 'sclk'."
arithmetic_core_2d_fht/fht_1d_x8,"module fht_1d_x8 module fht_1d_x8(
	rstn,
	sclk,

	// input data - x0,x1,x2,x3,x4,x5,x6,x7,x0,x1...
	x_valid,
	x_data,
	
	// 1D FHT output data - h0,h1,h2,h3,h4,h5,h6,h7,h0,h1...
	fht_valid,
	fht_data

);",@(posedge sclk) ((x_data >= 230) && (x_data <= 255)) |-> (x_data >= 205) && (x_data <= 255),"that when x_data is within the range of 230 to 255, in the next cycle x_data will remain within the range of 205 to 255. Use the signals 'sclk' for the clock edge and 'x_data' for the data being checked."
arithmetic_core_2d_fht/fht_1d_x8,"module fht_1d_x8 module fht_1d_x8(
	rstn,
	sclk,

	// input data - x0,x1,x2,x3,x4,x5,x6,x7,x0,x1...
	x_valid,
	x_data,
	
	// 1D FHT output data - h0,h1,h2,h3,h4,h5,h6,h7,h0,h1...
	fht_valid,
	fht_data

);",@(posedge sclk) (rstn ##4 1) |-> (x_data >= 0) && (x_data <= 45),"that the input data signal 'x_data' is within the range 0 to 45 inclusive, starting from four clock cycles after the reset signal 'rstn' becomes deasserted. Use the signals 'rstn', 'sclk', and 'x_data'."
arithmetic_core_2d_fht/fht_1d_x8,"module fht_1d_x8 module fht_1d_x8(
	rstn,
	sclk,

	// input data - x0,x1,x2,x3,x4,x5,x6,x7,x0,x1...
	x_valid,
	x_data,
	
	// 1D FHT output data - h0,h1,h2,h3,h4,h5,h6,h7,h0,h1...
	fht_valid,
	fht_data

);",@(posedge sclk) (rstn ##3 1) |-> (x_data >= 83) && (x_data <= 165),"that the input data x_data has a value between 83 and 165, inclusive, 3 clock cycles after the reset signal rstn becomes deasserted. Use the signals 'rstn', 'sclk', and 'x_data'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) (!cnt128d_rd_valid ##1 1) |-> wr_CSN,"that the write chip select signal 'wr_CSN' is asserted following any cycle where 'cnt128d_rd_valid' is not asserted and then one cycle passes without it being asserted. Use the signals 'cnt128d_rd_valid', 'wr_CSN', and the clock signal 'sclk'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) (!x_valid_1d ##1 (x0 == 88)) |-> rstn,"that after a cycle where 'x_valid' is deasserted, if 'x_data' (referred to as 'x0' in the SVA) is equal to 88, then 'rstn' must be asserted. Use the signals 'sclk', 'x_valid', and 'rstn'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) ((x_data >= 172) && (x_data <= 255) ##1 (x0 == 88)) |-> (cnt == 1),"that if the input data signal `x_data` is within the range of 172 to 255 (inclusive) at one clock cycle, and at the next clock cycle the signal `x0` is equal to 88, then the signal `cnt` must be equal to 1. Use the signals 'x_data', 'x0', and 'cnt'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) (!wr_CSN) |-> rstn,"that the reset signal 'rstn' must be high after the falling edge of the write chip select signal 'wr_CSN', at the next positive edge of the clock signal 'sclk'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) (!wr_CSN ##4 1) |-> rstn,"that the reset signal 'rstn' is asserted within four clock cycles after the signal 'wr_CSN' is deasserted. Use the signals 'wr_CSN', 'rstn', and 'sclk'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) ((h4_FF == 0) ##1 1) |-> wr_WEN,"that the write enable signal 'wr_WEN' is asserted one clock cycle after the signal 'h4_FF' equals zero. Use the signals 'sclk', 'h4_FF', and 'wr_WEN'."
arithmetic_core_2d_fht/fht_8x8_core,"module fht_8x8_core module fht_8x8_core (
	rstn,
	sclk,

	x_valid,
	x_data,

	fht_2d_valid,
	fht_2d_data
);",@(posedge sclk) ((h5_FF == 0) ##2 1) |-> wr_WEN,"that two cycles after the signal 'h5_FF' is 0, the write enable signal 'wr_WEN' is asserted. Use the signal 'h5_FF' and 'wr_WEN'."
arithmetic_core_2d_fht/fht_bfly,"module fht_bfly module fht_bfly(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((a >= 0) && (a <= 37)) |-> (a >= 0) && (a <= 83),"that when signal 'a' is within the range 0 to 37 inclusive, it must also be within the range 0 to 83 inclusive in the following clock cycles. Use the signal 'a' and observe on the positive edge of 'clk'."
arithmetic_core_2d_fht/fht_bfly,"module fht_bfly module fht_bfly(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((b >= 156) && (b <= 205) ##1 (a >= 100) && (a <= 150) ##1 (a >= 151) && (a <= 251) ##1 (b >= 0) && (b <= 32) ##1 1) |-> (a >= 0) && (a <= 126),"that the signal 'a' is within the range [0, 126] following a specific sequence of conditions on signals 'a' and 'b' across four clock cycles after a reset. Initially, 'b' must be in the range [156, 205]; on the next clock cycle, 'a' should be in the range [100, 150]; on the following clock cycle, 'a' should be within [151, 251]; and on the fourth clock cycle, 'b' should be within [0, 32]. The assertion is checked at the positive edge of the 'clk' signal and does not apply if 'rstn' is not asserted (i.e., during reset)."
arithmetic_core_2d_fht/fht_bfly,"module fht_bfly module fht_bfly(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((a >= 173) && (a <= 254) ##1 (a >= 8) && (a <= 15) && (b >= 0) && (b <= 30) ##3 1) |-> (b >= 164) && (b <= 255),"that after a signal 'a' is within the range [173, 254] on one clock cycle, it will be within the range [8, 15] and signal 'b' will be within the range [0, 30] three clock cycles later. If this condition holds, then it implies that signal 'b' must be within the range [164, 255] on the following clock cycle. Use the signals 'a', 'b', and the clock signal 'clk'."
